Criteria,MaxDepth,ActualDepth,NodeCount,Accuracy
IG,0,4,23451,0.7464
IG,1,1,1,0.7592
IG,2,2,18417,0.7477
IG,3,3,23350,0.7470
IG,4,4,23451,0.7450
IG,5,5,23462,0.7471
IG,6,4,23462,0.7473
IG,7,5,23464,0.7461
IG,8,4,23457,0.7450
IG,9,4,23463,0.7445
IG,10,4,23477,0.7465
IG,11,4,23451,0.7456
IG,12,4,23456,0.7458
IG,13,4,23466,0.7479
IG,14,4,23453,0.7471
IG,15,4,23453,0.7454
IGR,0,8,21163,0.8305
IGR,1,1,1,0.7585
IGR,2,2,118,0.8098
IGR,3,3,269,0.8319
IGR,4,4,354,0.8307
IGR,5,5,18487,0.8321
IGR,6,6,21053,0.8322
IGR,7,7,20820,0.8286
IGR,8,8,21305,0.8306
IGR,9,8,21241,0.8313
IGR,10,8,21165,0.8295
IGR,11,8,21272,0.8294
IGR,12,8,21135,0.8302
IGR,13,8,21203,0.8301
IGR,14,8,21227,0.8304
IGR,15,8,21174,0.8307
NWIG,0,12,12992,0.8305
NWIG,1,1,1,0.7573
NWIG,2,2,7,0.7596
NWIG,3,3,191,0.8286
NWIG,4,4,934,0.8445
NWIG,5,5,2501,0.8468
NWIG,6,6,4982,0.8429
NWIG,7,7,7643,0.8365
NWIG,8,8,10235,0.8319
NWIG,9,9,11908,0.8305
NWIG,10,10,12565,0.8302
NWIG,11,11,12933,0.8315
NWIG,12,12,12983,0.8292
NWIG,13,12,13019,0.8317
NWIG,14,12,13022,0.8292
NWIG,15,12,13004,0.8314
